Брест,966
Вильнюс,990
Витебск,969
Волгоград,1060
Воронеж,1013
Даугавпилс,1316
Донецк,560
Житомир,537
Казань,1641
Калининград,1165
Каунас,1051
Киев,441
Кишинев,157
Минск,855
Москва,1136
Мурманск,2506
Ниж.Новгород,1425
Одесса,0
Орел,817
Рига,1248
С.Петербург,1496
Самара,1581
Симферополь,308
Таллинн,1494
Уфа,1991
Харьков,564
Ярославль,1387
